mirna_feature,mirna_name,gene
hsa-mir-362,hsa-mir-362,LPIN1
hsa-mir-362,hsa-mir-362,UBE2E3
hsa-mir-362,hsa-mir-362,MTHFD1L
hsa-mir-362,hsa-mir-362,SERBP1
hsa-mir-155,hsa-mir-155,SHCBP1
hsa-mir-155,hsa-mir-155,USP6NL
hsa-mir-155,hsa-mir-155,NMT2
hsa-mir-155,hsa-mir-155,NXN
hsa-mir-155,hsa-mir-155,JOSD1
hsa-mir-155,hsa-mir-155,GMPS
hsa-mir-155,hsa-mir-155,CDK6
hsa-mir-155,hsa-mir-155,DONSON
hsa-mir-155,hsa-mir-155,GPM6B
hsa-mir-155,hsa-mir-155,TRIM2
hsa-mir-155,hsa-mir-155,NUDT5
hsa-mir-155,hsa-mir-155,CDC42EP1
hsa-mir-155,hsa-mir-155,ANP32E
hsa-mir-155,hsa-mir-155,CBX2
hsa-mir-155,hsa-mir-155,FAM171A1
hsa-mir-155,hsa-mir-155,ANLN
hsa-mir-155,hsa-mir-155,MRAS
hsa-mir-155,hsa-mir-155,MYO10
hsa-mir-155,hsa-mir-155,CEP55
hsa-mir-155,hsa-mir-155,SOX11
hsa-mir-155,hsa-mir-155,GPN1
hsa-mir-155,hsa-mir-155,TRIM29
hsa-mir-155,hsa-mir-155,CEBPB
hsa-mir-155,hsa-mir-155,E2F3
hsa-mir-155,hsa-mir-155,PIM1
hsa-mir-155,hsa-mir-155,RHEB
hsa-mir-155,hsa-mir-155,SOX10
hsa-mir-155,hsa-mir-155,PSAT1
hsa-mir-155,hsa-mir-155,STK38
hsa-mir-155,hsa-mir-155,EML4
hsa-mir-155,hsa-mir-155,CDC25A
hsa-mir-155,hsa-mir-155,PSMG1
hsa-mir-155,hsa-mir-155,GATA3
hsa-mir-155,hsa-mir-155,PDIA6
hsa-mir-155,hsa-mir-155,CHST3
hsa-mir-155,hsa-mir-155,CDCA2
hsa-mir-155,hsa-mir-155,HDGF
hsa-mir-155,hsa-mir-155,KIF23
hsa-mir-155,hsa-mir-155,RAP2B
hsa-mir-155,hsa-mir-155,SRPK1
hsa-mir-155,hsa-mir-155,SEPHS1
hsa-mir-155,hsa-mir-155,CLCN4
hsa-mir-155,hsa-mir-155,MPP6
hsa-mir-155,hsa-mir-155,SERBP1
hsa-mir-155,hsa-mir-155,OIP5
hsa-mir-155,hsa-mir-155,CHEK1
hsa-mir-3136,hsa-mir-3136,KIAA0141
hsa-mir-3136,hsa-mir-3136,KHDRBS3
hsa-mir-3136,hsa-mir-3136,UCK2
