patient_id,hsa-mir-18a,hsa-mir-106b,hsa-mir-17,hsa-mir-505,hsa-mir-93,hsa-mir-942,hsa-mir-20a,hsa-mir-19a,hsa-mir-197,hsa-mir-92a-1,hsa-mir-590,hsa-let-7d,hsa-mir-92a-2,hsa-mir-19b-1,hsa-mir-502,hsa-mir-24-2,hsa-mir-24-1,hsa-mir-19b-2,hsa-mir-877,hsa-mir-378a,hsa-mir-501,hsa-mir-188,hsa-mir-532,hsa-mir-186,hsa-mir-1307,hsa-mir-500b,hsa-mir-455,hsa-mir-1301,hsa-let-7i,hsa-mir-452,hsa-mir-146b,hsa-mir-135b,hsa-mir-224,hsa-mir-934,hsa-mir-324,hsa-mir-1306,hsa-mir-548b,hsa-mir-98,hsa-mir-301b,hsa-mir-421,hsa-mir-146a,hsa-mir-548s,hsa-mir-25,hsa-mir-362,hsa-mir-30e,hsa-mir-130b,hsa-mir-190b,hsa-mir-23a,hsa-mir-27a,hsa-mir-3200,hsa-mir-378c,hsa-mir-130a,hsa-mir-766,hsa-mir-33a,hsa-mir-155,hsa-mir-548d-1,hsa-mir-185,hsa-mir-548ao,hsa-mir-769,hsa-mir-210,hsa-mir-454,hsa-mir-939,hsa-mir-1276,hsa-mir-2355,hsa-mir-7112,hsa-mir-28,hsa-mir-223,hsa-mir-548d-2,hsa-mir-2115,hsa-mir-138-2,hsa-mir-7706,hsa-mir-3677,hsa-mir-2277,hsa-mir-4999,hsa-mir-1277,hsa-mir-10b,hsa-mir-7158,hsa-mir-3691,hsa-mir-15b,hsa-mir-301a,hsa-mir-3613,hsa-mir-3136,hsa-mir-106a,hsa-mir-100,hsa-mir-151a,hsa-mir-195,hsa-mir-1226,hsa-mir-511,hsa-mir-1468,hsa-mir-142
TCGA-A1-A0SB,11.871962,1018.790238,1272.498468,93.216888,5589.495688,8.794046,356.158866,51.44517,518.409016,10051.594668,31.218864,1402.65035,8713.580557,264.700787,8.794046,859.178302,991.088993,183.795563,1.758809,324.060598,22.424818,7.914641,778.273078,603.711263,1578.091569,2.198512,7387.438409,7.474939,1418.919335,142.903249,380.342493,139.38563,80.465522,24.183627,136.307714,27.261543,0.0,63.317132,1.758809,1.319107,949.756977,0.0,13370.467659,4.397023,49292.387082,69.912666,0.879405,2890.602946,824.002118,3.957321,9.233748,594.477515,2.638214,49.246658,113.443194,0.0,15.829283,0.0,48.367253,550.067582,27.701245,0.879405,0.439702,67.714155,0.879405,6635.987171,44.409933,0.0,0.439702,0.0,1.319107,1.758809,7.474939,1.758809,3.517618,22859.68308,0.0,0.0,179.838242,38.2541,25.063031,1.758809,36.055589,3863.224443,1831.799798,173.242708,3.077916,6.155832,14.949878,860.937111
TCGA-A2-A0D2,114.019101,929.346164,2702.976622,167.408997,17494.692682,7.239308,885.005402,189.126921,818.946717,7663.712426,47.055502,1388.137308,6870.103287,314.909898,17.193356,680.494951,671.445816,268.759309,1.809827,238.897164,195.461316,3.619654,1193.580906,891.339797,903.103672,22.622837,442.502701,25.337578,1097.660075,92.301177,2026.101325,166.504084,205.415364,42.530934,76.917647,31.671972,12.668789,105.874879,11.763875,3.619654,466.935366,1.809827,20260.108336,31.671972,16014.254197,97.730658,0.0,5015.935527,915.772461,35.291626,0.904913,231.657856,8.144221,27.147405,1343.796546,0.904913,57.00955,0.0,17.193356,401.781594,17.193356,0.904913,0.904913,83.252042,0.0,6452.03325,563.76111,0.0,0.0,0.0,0.904913,6.334394,0.0,0.0,3.619654,80124.660884,0.0,0.0,1411.665059,46.150588,19.908097,0.0,72.39308,1763.67641,1155.574539,24.432664,0.904913,11.763875,9.049135,6406.787575
TCGA-A2-A0D4,3.810851,388.706773,592.968371,154.720539,9772.545564,5.335191,247.705296,31.248976,517.513527,1825.397491,32.011146,1177.55287,1762.899539,70.881823,7.621701,458.064256,440.534342,53.35191,3.810851,405.474516,94.509098,0.76217,1435.928548,397.090644,906.982469,9.908212,76.217014,32.011146,563.243735,28.200295,803.32733,6.097361,21.340764,0.0,68.595313,7.621701,0.76217,118.898542,5.335191,6.097361,81.552205,0.0,8762.670126,25.913785,8297.746339,12.194722,121.185053,3091.362097,477.118509,9.908212,1.52434,60.973611,4.573021,15.243403,137.190626,0.76217,122.709393,0.0,57.924931,743.878059,16.005573,6.097361,0.76217,21.340764,0.0,4538.723197,81.552205,0.76217,0.76217,0.0,3.048681,13.719063,0.0,0.76217,2.28651,155715.933091,0.0,0.0,507.605315,54.11408,25.913785,0.0,25.151615,1869.603359,3871.824323,25.913785,0.0,7.621701,2.28651,1270.537627
TCGA-A7-A0CH,4.126983,271.865015,399.801492,59.325383,4933.292476,1.547619,167.142817,23.730153,451.904654,1764.801167,20.119043,560.753835,1565.67423,102.658706,4.642856,511.230037,438.491959,91.309502,1.547619,64.484112,22.698407,0.0,466.349095,361.111025,385.872924,5.158729,221.825344,9.285712,484.920519,8.253966,467.896714,13.412695,7.738093,0.0,59.841256,8.769839,0.0,38.174594,0.0,2.063492,109.365053,0.0,5122.101955,6.190475,8628.490009,11.865077,83.571409,3157.142105,1061.666414,0.0,1.031746,86.666646,1.547619,24.246026,212.539632,0.0,64.999985,0.0,23.730153,611.825251,6.706348,0.0,0.515873,15.99206,0.0,2611.864457,75.833315,0.0,0.515873,0.0,2.063492,0.0,0.515873,0.0,1.031746,42860.783446,0.0,0.0,151.666631,11.865077,12.896822,1.031746,30.436501,1014.721981,907.420419,32.499992,1.031746,5.158729,0.515873,1273.690173
TCGA-A8-A08X,2.448569,617.957685,285.870469,49.8896,3177.324779,8.569993,97.636702,42.237821,286.482612,1662.578576,34.586042,386.567883,1582.694002,48.665315,9.182135,960.45132,950.657043,46.522817,1.224285,382.282887,82.027073,3.060712,941.474908,444.415334,1451.695542,4.897139,194.04912,9.794277,464.309959,121.816324,527.36062,14.691416,70.702439,4.591067,29.382832,11.630704,0.306071,36.116398,1.530356,3.672854,114.776687,0.306071,9111.738625,11.324633,13362.148913,24.791764,1.836427,9179.380353,1411.60022,1.530356,5.815352,37.646753,13.16106,26.934263,444.109263,0.306071,119.979897,0.0,36.422469,1427.821991,9.182135,1.530356,0.612142,38.258896,0.0,6505.236572,33.055686,0.612142,21.424982,0.918213,0.306071,8.263921,2.448569,3.366783,1.836427,56018.369167,1.836427,0.0,113.246332,13.773202,20.506768,0.0,17.446056,2125.970322,2213.506676,52.338169,1.224285,3.672854,23.873551,3973.415883
TCGA-AC-A2FK,2.595424,359.651546,363.359294,20.021839,1154.22192,1.853874,77.491931,3.336973,165.365556,4044.411404,3.336973,546.151265,3695.141553,83.424328,3.336973,922.116902,976.99157,77.862706,1.112324,775.290085,8.52782,0.370775,228.026496,149.051465,176.4888,1.853874,41.156002,2.966198,690.753433,106.783139,1278.431474,8.52782,19.280289,3.707748,9.640145,1.483099,0.74155,48.571497,0.0,1.483099,119.760257,0.0,8533.011006,4.078523,24758.857346,5.561622,1.483099,3289.884708,1305.868809,1.483099,7.415496,47.459173,7.415496,2.595424,153.871538,0.0,24.841911,0.0,20.021839,2.595424,2.224649,0.74155,0.0,16.684866,0.0,5556.060221,196.139864,0.0,9.26937,0.370775,0.0,0.370775,0.370775,0.74155,0.370775,109186.501573,0.0,0.0,138.298996,0.74155,5.932397,0.0,2.966198,8749.543484,3634.705262,464.951586,0.370775,3.336973,6.673946,147.197591
TCGA-AN-A04C,24.911187,902.14085,1573.853218,85.409785,9945.791477,9.786538,603.206604,88.07884,596.089122,8612.153279,48.932689,870.11218,7742.041098,145.018697,12.455594,551.604859,557.832656,112.990028,0.0,983.991893,69.39545,6.227797,1095.20255,624.55905,1564.06668,9.786538,103.20349,29.359613,305.162043,778.474599,717.976002,39.146151,791.819878,5.338112,45.373948,8.007167,0.0,88.07884,3.558741,5.338112,278.471485,0.889685,18647.802967,46.263633,15396.003356,44.484263,4.448426,3047.172002,1008.013395,4.448426,8.007167,32.028669,18.68339,51.601745,524.024616,0.889685,87.189155,0.0,38.256466,867.443125,19.573076,1.779371,0.889685,210.855406,0.889685,7277.625394,60.498597,0.889685,13.345279,0.0,1.779371,5.338112,0.889685,0.0,4.448426,29173.669231,0.0,0.0,286.478652,9.786538,23.131817,0.889685,71.17482,1341.645366,2331.865056,22.242131,0.0,7.117482,22.242131,11381.743481
TCGA-AN-A0FS,2.067508,138.523055,301.856209,47.55269,6043.843581,1.033754,204.166443,11.888173,174.187573,1041.507296,13.438804,408.332885,919.007431,69.261527,3.618139,220.706509,221.223386,69.261527,0.0,112.679201,16.540066,0.0,414.53541,253.786641,182.974483,4.135017,110.094816,4.135017,711.222848,13.955681,603.712418,2.584385,17.57382,0.516877,32.046378,2.584385,0.0,45.485182,1.033754,1.033754,50.653953,0.0,5622.588768,2.584385,10125.104926,6.202525,32.563255,2768.910464,387.657803,2.067508,2.067508,126.634882,3.101262,11.371296,138.006178,0.0,41.867043,0.0,8.78691,108.027308,5.685648,0.0,0.0,16.023189,0.0,2546.653324,81.1497,0.0,0.0,0.516877,2.067508,0.516877,0.0,0.0,2.067508,88514.681376,0.0,0.0,309.609365,2.067508,10.337541,0.0,10.854418,1927.434594,795.473811,37.732026,0.516877,7.236279,2.067508,348.892022
TCGA-AO-A03U,7.431864,299.132516,482.14216,26.011523,2384.699279,2.786949,206.234219,20.437625,203.44727,3491.117994,13.934745,737.612477,3155.755142,47.378131,4.644915,633.566384,594.5491,51.094063,0.0,246.180487,29.727455,0.928983,579.685372,357.658443,662.364856,7.431864,156.069139,7.431864,1417.628009,122.625752,1139.862102,117.051854,64.099825,38.088302,22.295591,8.360847,0.928983,78.034569,1.857966,3.715932,71.531689,0.928983,4028.070149,5.573898,13049.423752,24.153557,0.0,5973.360484,1095.270919,0.0,4.644915,54.809995,10.218813,13.934745,110.548973,0.0,63.170842,0.0,13.005762,487.716058,8.360847,0.0,0.0,43.662199,0.0,6336.592825,127.270667,0.0,0.928983,6.502881,2.786949,1.857966,0.928983,0.0,1.857966,32263.57848,0.0,0.0,125.412701,10.218813,12.076779,0.928983,22.295591,2529.620622,1508.66834,25.08254,0.928983,0.928983,4.644915,4499.064514
TCGA-AO-A0J8,6.308379,402.474567,154.345001,28.597984,2903.957036,1.261676,56.775409,10.934523,106.821881,1314.245581,7.990613,755.743779,1164.947283,28.177425,4.205586,433.175343,421.399703,26.495191,0.420559,104.719088,23.971839,0.841117,312.475029,225.839961,806.210809,1.261676,527.380467,11.77564,330.13849,8.83173,583.735317,1.261676,17.663461,0.0,42.055859,4.626144,0.841117,35.326921,0.0,1.261676,102.195736,0.420559,6609.078178,5.046703,12201.245695,12.196199,30.700777,3233.254409,987.47156,0.0,3.364469,76.541663,5.467262,10.513965,261.166882,0.0,41.6353,0.0,28.597984,567.754091,6.308379,1.682234,0.420559,18.925136,0.420559,2895.545864,59.298761,0.0,0.0,0.0,2.523352,2.94391,0.420559,0.420559,2.102793,28885.225356,0.0,0.0,113.13026,14.298992,10.093406,0.0,23.551281,1262.096316,1472.796168,71.074401,1.682234,3.364469,1.682234,2139.802085
