patient_id,FAM171A1,FOXC1,FOXA1,CDCA8,ANP32E,B3GNT5,MICALL1,TTLL4,PLK1,SFT2D2,CENPA,AURKB,IFRD1,TTK,KIF2C,MTHFD1L,MPP6,GABRP,CDCA7,CDC25A,EXO1,MELK,SUV39H2,FOXM1,CCDC82,PSAT1,SRPK1,CCNB2,ATL2,TCF7L1,NCAPG,CDCA3,TBX19,GSG2,CEP55,RBM17,BUB1,YBX1,MRAS,KIF20A,KIF4A,CENPO,NCAPH,HDGF,CDH3,CHEK1,LBR,CLCN4,FAM136A,DLGAP5,MSN,STIL,MSL3,SERBP1,GATA3,KIAA0020,FANCA,UCK2,ZNF454,STK38,CCNA2,CDCA2,HAPLN3,FANCE,TUBB,GMPS,RNF8,UBXN2A,SGOL1,ILF2,PSMB2,ENO1,SOX10,CDK2AP1,RPIA,MEMO1,ANLN,KIF23,TSPAN33,JOSD1,UBE2E3,STMN1,EN1,GPSM2,PAPSS1,ST8SIA1,PDIA6,GPN1,CKS1B,SCHIP1,DBF4,NASP,TIGD2,KIF18A,ASPM,TUBA1C,L3MBTL4,IGF2BP2,SKP2,TUBB6,EZH2,MCM5,NDUFAF4,DSCC1,GPR161,CENPF,ANKRA2,CDC123,DSC2,PFKP,LYN,KIF14,RSU1,PRTFDC1,USP6NL,DEK,CHST3,PADI2,CEBPB,LMO4,NIP7,RRP1B,RIPK2,IQGAP3,KARS,ESYT3,CKAP2L,RAD51,CENPE,PRKD3,MSH2,EML4,KIF11,RANBP1,SEPHS1,CDC42EP1,E2F3,DNALI1,DONSON,LPIN1,OIP5,RASAL1,JRKL,IFNAR2,DEPDC1B,UGT8,HSPA14,PSME4,XBP1,NUF2,SMO,CENPL,COMMD2,NCK1,NMT2,PRNP,LAD1,MYO10,DPH2,RAP2B,PPP1R14C,RBM28,TBC1D22B,SHCBP1,TBC1D1,TRIM2,TRIM29,CCNB1,TRDMT1,MCM3,FERMT1,ECE2,CENPI,ERBB2,ESPL1,NUDT5,UBE2T,PIM1,PPARA,KHDRBS3,PDK1,PDXK,RACGAP1,RHEB,DEPDC1,TROAP,PPP1CB,TAF5,LMNB2,CCDC77,BTG3,BAG2,HORMAD1,YARS,SMG5,PDHA1,SLC22A5,XPO5,NFIL3,PSRC1,SOX11,COTL1,GPM6B,GART,HDAC2,KIAA0141,GLIPR2,NXN,CRY2,PTTG1,IRAK1,NEK2,PROM1,RUNDC1,CDK6,FAM98A,CBX2,PHF5A,PSMG1,MASTL
TCGA-A1-A0SB,1992.12,2276.83,535.646,173.893,1412.77,1062.73,2816.08,1632.17,154.522,170.289,27.9311,77.4862,429.778,140.106,229.305,1769.12,75.2337,17075.3,433.833,128.843,96.4073,130.645,266.246,361.185,596.464,666.742,1383.04,183.354,3315.69,3308.48,233.657,69.3907,120.734,49.1046,134.7,1226.71,204.077,6401.62,1178.51,262.642,127.492,136.155,154.071,4590.16,2504.34,207.681,814.056,95.0557,750.535,172.993,3382.81,163.982,755.941,9347.45000000001,601.419,977.588,217.831,444.194,99.5608,1796.6,214.204,77.4862,1351.05,276.608,27308.0,1339.79,404.1,282.014,32.8866,6589.03,1320.87,29102.4,6569.66,4911.81,534.745,260.696,499.606,296.43,240.117,1847.96,2029.51,5281.68,2655.7,396.86,4877.58,773.961,8607.12,797.387,655.479,605.924,180.201,1897.51,402.748,72.0802,248.226,1583.96,203.626,34.2381,300.484,1081.47,391.936,1342.04,250.028,167.136,230.206,988.85,322.559,887.816,3218.83,1063.63,418.966,84.6942,1698.39,232.909,923.978,2524.61,3048.09,5014.98,1531.7,3611.22,689.717,1722.27,439.239,235.612,3806.74,23.4261,67.1247,54.9611,135.601,1764.61,1116.79,1477.19,502.759,761.798,1689.83,1813.27,582.498,86.9467,148.958,2252.96,15.8126,340.128,484.739,274.662,68.9267,434.283,543.755,3158.01,4362.65,65.7732,1624.51,109.922,1289.78,551.413,426.625,10972.4,947.855,5206.89,658.633,706.386,75.6842,495.551,521.721,368.961,3243.61,5407.37,9328.53,409.956,265.796,2605.25,587.904,138.304,32.8866,6711.57,157.675,498.376,102.714,91.0012,696.925,290.123,362.203,7343.17,555.918,908.21,96.8578,81.0902,7333.96,76.1347,1792.99,182.904,480.685,49.1046,169.839,1778.13,1546.57,1482.96,377.971,1735.33,892.893,96.4073,628.449,450.952,2167.36,1538.01,3388.67,1437.1,1772.27,2657.96,1498.37,159.477,2284.49,78.3872,3497.69,650.073,6938.62,1289.33,726.208,474.828,314.45,351.391
TCGA-A2-A0D2,2238.03,1045.65,84.6424,2665.68,5023.1,1038.99,3756.79,1313.99,2629.46,85.6404,442.432,1013.49,2869.34,1257.07,3261.13,2076.51,146.369,12466.8,683.423,491.961,1268.53,1026.06,1013.12,6954.29,300.129,2806.87,4150.8,3247.46,1508.41,3190.54,1582.75,979.131,83.6444,149.695,1298.1,4249.86,1142.12,16799.1,2056.92,1418.59,2513.4,243.685,790.612,19519.9,9978.19,1299.94,3171.69,606.173,1289.23,1192.02,21173.2,956.2,869.71,11205.3,1271.48,994.639999999999,2753.74,494.178,21.8074,1824.06,1515.84,592.127,4710.77,405.101,54004.1,3588.99,829.422,433.192,189.614,12276.1,2412.49,36354.1,3495.1,6767.7,1005.73,458.115,1431.53,2461.65,2104.23,3307.34,1238.96,9342.08,565.145,1167.31,3522.45,93.8828,8988.55,1015.71,1892.81,707.078,402.144,5349.84,252.079,530.401,1111.07,9129.92,345.223,97.579,485.677,2401.35,1761.97,3431.16,611.717,507.854,231.75,6270.93,126.779,3514.76,4465.72,1509.15,1827.39,409.906,3283.68,350.397,1023.84,10154.1,1442.62,9061.17,4362.23,4932.18,1533.91,1458.14,1329.88,1708.37,8542.6,10.3493,347.44,503.419,659.028,519.312,1578.64,1198.3,1419.7,3977.82,4246.53,4014.78,1163.56,59.1388,643.231,467.197,255.997,98.3182,263.168,383.903,607.651,417.298,2165.22,3689.52,5250.05,799.852,3051.56,208.095,656.071,407.688,1196.08,4890.04,1253.74,3571.61,1042.32,1180.56,2114.58,1764.18,1007.68,933.284,3391.61,1604.88,3513.21,2891.52,249.122,3282.94,518.573,897.431,228.424,3414.16,1245.24,2440.15,644.613,1464.42,426.169,1013.49,1025.32,3550.91,1524.67,2735.54,1189.8,706.709,6026.02,237.294,4026.61,263.537,977.637999999999,324.524,597.671,3641.1,8198.11,2775.99,195.528,3057.11,1034.93,789.503,62.835,14735.9,219.553,2290.52,4240.25,541.49,1017.19,668.268,525.966,1445.57,8868.97,1543.52,3370.91,346.332,2253.19,1133.62,538.163,784.698,837.553,838.662
TCGA-A2-A0D4,113.421,64.698,8411.28000000001,982.983999999999,1290.77,55.9119,579.886,547.67,1149.92,114.484,234.031,532.228,268.643,458.744,998.959,57.5094,8.7862,175.723,190.633,191.432,377.805,932.131,168.534,1118.21,59.1068,15.1761,949.171,1026.12,1370.11,174.126,1054.36,492.485,44.9984,92.1215,508.266,1303.55,1364.25,4257.82,330.679,1369.57,1521.07,307.944,724.458,7533.73,166.404,160.281,1042.09,12.7799,1200.24,1415.37,8561.17,497.083,328.815,5295.12,11341.6,589.471,178.849,428.392,5.8574,1162.97,829.04,254.798,44.197,231.369,29529.2,2081.79,311.775,242.019,108.096,5223.23,2470.51,11969.9,53.7819,2919.13,419.339,290.153,1618.25,1210.63,118.214,1102.8,129.13,5593.85,10.1174,877.934,2605.76,15.4423,4662.25,977.127,1335.23,114.486,310.287,2690.96,81.7378,316.568,989.107999999999,6782.91,4.26,18.371,191.432,556.978,707.418,1261.48,170.664,655.766,30.8847,4726.95,470.192,902.532,673.073,193.562,156.553,448.36,814.982,52.4507,429.457,2262.57,200.75,239.356,851.724,582.016,398.838,1134.74,1149.92,1640.08,2061.55,0.2662,418.008,308.58,1296.62,383.662,1493.11,1008.81,1010.67,964.613,705.555,393.513,279.293,1740.99,413.415,491.492,98.1706,2.13,37.2746,324.659,287.547,2.13,588.938,3181.39,54818.1,1031.44,87.5953,266.513,547.67,478.18,94.2515,357.037,1535.98,414.813,397.507,447.561,5.0587,395.377,546.256,298.197,2786.01,400.169,120.876,2117.2,16.5073,4201.38,4.26,167.469,138.981,10026.1,1143.26,738.082,1251.36,275.566,166.937,157.618,206.608,2025.87,2564.49,1148.86,407.624,603.582,4702.58,82.8028,1394.07,121.675,58.3081,31.6834,0.2662,2221.3,2676.05,1752.96,2081.52,1410.58,82.5366,530.897,30.8847,511.993,110.226,1442.26,3252.74,1097.2,216.459,150.962,1230.06,1014.67,2604.96,998.693,50.5869,2547.72,147.767,649.643,116.084,474.985,516.519,410.287
TCGA-A7-A0CH,119.936,136.945,17332.2,191.024,1314.06,77.6309,498.059,481.923,191.461,135.636,23.551,53.6439,328.405,106.852,180.994,131.275,16.5729,264.294,27.04,34.0181,154.39,106.415,191.897,288.573,84.609,30.0929,1309.7,174.888,1313.62,186.227,271.9,60.949,47.9742,37.071,167.037,1026.21,227.223,2485.93,330.586,237.254,293.515,74.2597,129.53,7499.24,276.942,149.156,829.081,32.2735,633.259,148.72,4018.93,184.919,454.882,6958.87,15505.7,644.598,37.59,367.657,17.009,834.751,217.122,71.5251,128.222,54.08,12808.2,1317.98,332.766,254.263,37.5071,5383.58,1455.36,11839.6,38.3793,1569.63,324.48,370.116,496.315,281.303,176.632,1079.86,781.979,2071.61,19.1897,406.555,2139.21,78.9393,4166.92,779.798,834.751,96.8599,162.676,1563.09,92.4593,68.9084,384.23,2184.13,21.3703,50.591,85.9174,562.401,226.351,594.444,167.91,73.2697,79.8116,1551.31,399.058,886.336,825.592,776.746,331.022,92.4593,762.353,81.9922,426.534,1594.05,300.929,200.183,377.252,1200.23,295.259,795.935,285.228,357.626,1370.75,26.6039,76.7587,78.5032,146.539,896.245,924.593,1202.41,477.125,603.166,917.179,776.309,433.948,688.648,129.561,414.322,45.7586,37.071,140.434,254.22,39.6877,11.7755,500.24,2354.66,57341.8,163.984,370.71,285.228,784.596,454.882,186.227,1068.52,1714.86,1378.6,383.357,551.703,25.2955,361.115,343.124,67.1639,736.622,487.592,488.901,520.738,71.9613,1832.61,25.2955,90.2787,24.8593,7637.93,102.926,511.457,269.964,221.554,150.464,115.138,504.601,1485.89,535.566,863.971,122.988,71.089,9180.3,114.702,815.125,154.39,163.112,167.474,0.0,1576.95,2392.6,944.655,587.902,1026.21,167.474,100.746,110.341,1452.31,149.592,1835.23,1939.9,923.285,262.113,509.835,1301.41,163.112,1262.16,327.533,157.442,1912.43,261.677,1067.64,44.4851,392.952,149.156,285.228
TCGA-A8-A08X,649.806,64.2599,2539.77,805.952,623.982,442.613,1043.17,807.153,823.968000000001,124.904,249.232,530.895,482.85,670.225,760.309,1106.83,231.816,328.506,217.403,423.395,559.722,1659.95,523.688,1081.36,340.517,780.728,1760.24,888.228,907.446,658.814,284.041,306.514,127.931,210.797,836.58,2089.95,763.312,13446.5,795.742,692.446,718.87,197.867,408.381,13379.9,3002.2,272.054,792.138999999999,56.4526,1464.77,622.18,13409.3,565.727,1308.02,5680.7,693.647,2082.74,116.623,889.429,15.6146,1332.64,620.445,252.836,539.904,75.07,20116.4,3621.38,306.286,304.484,255.839,8857.06,2384.82,23608.6,4.2039,2035.3,617.376,423.929,2044.31,752.502,175.964,2043.11,670.826,4870.54,686.44,727.044,1205.32,201.788,6876.77,718.27,1623.31,209.595,601.761,2398.64,111.104,216.202,1108.63,5111.8,12.6118,60.6566,294.875,1748.72,330.909,1089.42,250.434,196.383,178.366,5420.05,156.146,2600.92,2796.81,4439.34,790.337,490.057,2992.59,46.8437,1200.52,2196.85,867.209,3659.81,879.22,1501.4,544.708,1757.24,717.669,2067.13,2797.41,15.014,312.291,269.051,545.308,508.674,787.935,1667.76,1027.56,1707.39,2245.49,4513.81,594.554,38.4358,408.861,1327.84,57.4316,54.651,434.205,704.738999999999,61.8577,1.8017,905.044,2864.67,23322.7,697.25,247.431,374.75,825.169,520.085,328.506,2654.48,3450.82,2107.37,630.588,1842.52,679.834,460.63,314.027,291.872,1432.34,405.979,448.618,1008.34,114.707,2915.72,88.2823,321.9,112.905,160098.0,416.188,1606.01,879.819999999999,705.058,612.571,609.568,1194.51,4226.74,1400.51,1361.47,259.442,606.566,4365.47,138.129,2386.63,196.984,696.65,144.735,1.8017,2796.81,2784.2,3020.17,190.978,3006.4,574.135,285.266,1230.55,2350.59,106.299,2088.75,3669.42,501.468,756.706,2134.99,723.675,396.37,3998.53,715.267,4560.65,461.23,761.51,1276.19,893.633,632.39,777.725,730.281
TCGA-AC-A2FK,739.44,498.444,2985.33,59.582,993.33,297.021,1206.76,661.183,26.2339,124.469,5.7803,12.45,563.806,32.9035,26.6785,188.084,94.2641,6072.92,33.3482,21.3428,9.3375,13.7839,137.839,67.9013,429.524,160.96,1281.9,33.7928,1793.24,821.254,32.5967,24.6554,132.535,13.3393,30.6803,1181.41,44.0196,4131.17,1730.99,26.6785,17.341,63.4815,26.2339,4858.6,4259.23,75.1445,659.404,88.4838,572.254,24.0107,9341.93,83.5927,563.361,7032.46,3316.14,610.049,51.5651,447.31,46.6874,1153.4,45.8693,15.5625,508.226,111.16,9537.57,1086.71,293.464,356.158,8.0036,2805.25,1200.53,15618.5,4003.56,2145.4,278.346,249.208,84.9266,68.9195,325.478,1712.76,1104.05,1052.02,20.0089,287.714,2656.74,444.197,4629.47,717.354,377.501,224.544,117.83,1367.72,287.683,40.4624,37.3499,1079.59,173.41,278.346,106.269,836.261000000001,107.603,678.524,204.091,34.6821,167.185,207.648,473.544,663.015,3572.7,847.932,949.755,18.2303,1294.8,114.718,733.659,2723.88,1426.86,5169.85,1139.17,1073.81,509.115,1042.24,340.596,37.7946,2465.1,76.4784,15.5625,22.6767,36.016,1368.61,730.547,2056.91,125.834,468.653,1106.71,2293.02,470.876,698.088,105.522,1412.63,9.8711,85.3713,442.863,461.343,7.1143,206.759,424.188,2952.87,25892.0,20.4535,606.936,74.6999,881.281,793.241,457.981,4515.78,984.882,2128.95,414.851,703.868,319.698,361.939,407.901,29.791,1305.02,3043.57,4631.39,179.191,180.525,1586.48,110.716,83.1481,8.0036,10286.8,44.9088,404.571,29.3464,364.162,800.356000000001,168.519,398.844,2280.57,250.778,699.867,17.341,8.8928,10489.3,96.4873,649.622,125.389,449.089,51.1338,0.0,1362.38,1907.51,939.164,525.122,1129.84,739.884,94.7088,35.5714,1125.83,1886.62,1284.57,1795.91,1526.01,622.054,634.06,1304.58,13.3393,1745.22,25.3446,5090.26,850.6,1282.79,865.274,116.052,325.478,261.005,303.246
TCGA-AN-A04C,429.509,60.6491,5400.25,784.891,304.309,93.9883,871.786000000001,1111.9,818.939,123.072,477.035,478.808,441.568,485.547,888.455,1670.15,95.0523,54.2649,1137.08,313.531,483.774,667.849,383.047,1652.2,146.834,578.826,2584.5,883.49,1810.96,742.33,1424.38,555.042,57.457,54.2649,754.743999999999,2486.26,804.398,11722.6,399.007,714.311,709.346,167.452,682.036,12861.5,154.283,419.223,459.656,25.8911,1526.16,361.057,4661.11,288.704,766.448,7811.67,2236.92,1480.4,261.972,1198.44,7.0935,1906.37,1287.98,104.983,136.549,151.8,46665.7,2079.09,334.457,300.053,103.564,7985.81,2677.78,20865.8,15.2509,4172.02,650.115,1240.25,706.863,577.053,206.774,1308.39,1307.32,17250.9,13.4776,674.159,1184.96,460.72,7408.91,1277.82,1269.73,95.0523,461.075,4197.2,301.827,292.605,833.126,7439.26,23.7631,10.9949,161.376,751.059,718.212,1773.36,367.086,1060.47,32.6299,3406.28,95.407,1986.07,3333.92,307.147,286.93,350.771,3097.36,9.9308,937.4,2217.41,334.102,5738.96,1710.59,1500.98,963.646,1205.18,744.458000000001,1134.95,3888.99,19.507,175.918,586.274,1166.52,183.366,1682.92,2286.93,1260.15,1600.99,2197.55,2304.31,1098.78,82.6388,507.352,939.174,280.709,131.229,332.328,204.753,158.893,1.4187,1029.26,4103.56,29253.4,502.926,687.001,285.157,522.788,486.966,225.572,357.865,5760.6,3187.44,668.913,1138.85,7036.71,777.798,490.817,249.335,616.776,3004.79,789.502,1414.79,55.329,2980.32,10.6402,594.432,75.5453,160363.0,590.176,1335.79,1076.79,202.873,81.9294,243.306,260.685,2410.36,789.502,1298.1,338.712,650.825,11582.9,254.655,1328.6,306.792,491.222,40.7874,0.3547,1502.39,2252.88,2266.37,613.584,1597.09,851.569,217.06,2581.66,1331.44,361.412,1433.94,6168.11,584.501,793.403,185.849,789.147,513.566,1691.08,562.866,3965.95,3316.9,145.77,1914.52,1858.13,822.486,814.683,622.096
TCGA-AN-A0FS,380.361,175.493,12133.8,183.09,1331.77,144.851,666.772,399.607,132.696,102.546,29.8819,53.6861,281.092,119.781,147.89,137.254,30.6416,575.1,18.233,76.7307,169.922,75.4645,162.831,312.441,216.77,26.5898,994.966,158.273,1163.62,491.785,186.845,71.4785,85.8624,31.6546,133.456,1105.63,88.3795,4696.27,594.853,174.227,156.247,73.5703,67.3609,7128.35,461.397,92.6846,754.898,131.683,583.71,90.6587,5854.07,148.397,422.652,7010.09,21857.6,503.181,54.2559,490.519,17.7266,702.731,172.938,34.6934,96.2299,107.119,15623.2,1199.58,306.923,256.022,30.1351,5102.46,1214.52,9883.06,289.703,1598.18,373.271,306.988,270.71,203.349,143.079,1391.28,461.903,2316.1,28.3625,428.329,2321.67,65.0818,4293.59,922.128,802.506,172.826,182.642,1404.2,158.273,52.42,337.058,1908.39,30.3884,26.8431,88.6328,1294.45,144.851,1134.5,208.92,105.6,100.788,1323.16,366.94,877.804,1097.53,736.412,342.629,90.1522,1568.55,100.535,414.295,2698.99,372.511,266.911,357.317,1048.15,422.652,953.942,258.301,234.75,1626.03,7.0906,31.9078,108.385,110.158,553.069,773.638,1336.08,345.161,743.756,1090.94,929.631,323.636,847.076,164.209,317.052,39.7151,9.1165,171.188,305.636,43.3034,11.3956,459.118,1374.82,71550.0,103.067,742.996000000001,264.632,792.884,579.405,281.599,1858.76,1289.73,1024.85,437.086,516.602,15.1942,328.954,383.846,65.5883,824.538,815.168,882.783,425.944,125.099,2408.03,33.4272,94.4572,31.6546,8557.62,108.132,566.91,304.137,539.647,426.704,229.432,273.749,1819.5,597.638,906.84,106.613,78.2501,6527.73,98.7622,826.817,123.073,277.041,178.785,1.2662,1308.17,2008.17,1153.11,757.684,961.539000000001,346.681,172.201,31.1481,1158.56,174.733,1376.59,1843.06,1108.92,816.181,544.458,2244.69,128.138,1093.98,260.327,200.057,1702.51,348.454,932.67,62.0429,543.192,234.75,250.704
TCGA-AO-A03U,856.576,1280.44,75.679,130.607,979.86,606.652,1529.14,623.131,166.616,126.021,23.8023,94.2936,490.693,78.4254,151.663,445.835,121.758,57870.6,26.8538,74.4583,46.0787,88.4956,209.643,289.445,417.455,28.0745,1223.68,169.057,986.877999999999,1156.24,202.042,55.4043,61.3457,31.4312,191.639,993.592,161.123,6684.77,1069.27,198.657,128.166,75.5325,133.354,5176.38,3413.18,97.3451,678.059,246.872,708.27,132.743,15740.9,112.603,710.101,6465.67,1575.53,566.982,128.169,610.314,9.1547,1005.8,206.637,69.5758,4996.64,64.083,10758.6,1065.61,286.543,319.194,21.9713,2953.01,1578.58,31090.9,748.245,5049.13,317.058,376.552,353.677,139.152,868.782,1476.05,1250.23,1006.1,32.6518,179.521,2860.54,300.58,11886.1,723.412,370.156,97.6503,123.641,1387.85,341.471,38.4498,220.629,2173.02,107.721,465.06,109.246,3928.57,124.504,863.9,140.677,32.957,105.584,591.7,293.561,835.261,4079.95,1613.06,2197.74,84.5285,1830.03,52.1819,437.901,2875.8,1453.77,6169.36,1575.53,878.242,519.072,823.619,411.657,163.259,3062.25,6.7135,82.6976,68.9655,127.861,1180.04,587.122,1613.98,308.209,589.564,748.245,3505.65,434.849,193.165,198.343,984.436999999999,33.0821,693.012,357.644,1015.42,39.6704,78.1202,365.883,2352.76,7921.88,62.2521,427.83,90.3265,782.728,682.942,357.644,3552.64,1246.26,1750.99,444.004,1145.56,284.712,302.411,471.065,185.536,2689.96,4563.63,229.478,286.543,123.894,1502.29,119.622,96.1245,18.3094,4052.79,107.721,523.604,68.3552,490.387,873.97,792.493,329.875,3025.63,382.667,968.263999999999,61.3366,57.6747,8198.3,74.7635,928.593000000001,119.67,510.223,109.246,0.6103,1865.12,1938.05,966.128,280.439,1083.0,402.807,50.9612,24.4126,5371.68,411.352,1296.61,1727.8,1390.91,900.519,717.119,891.973999999999,104.669,2599.63,65.3036,4673.79,693.317,1449.5,1065.91,60.7263,361.611,307.904,248.703
TCGA-AO-A0J8,168.848,31.3146,10087.3,249.014,1606.56,78.4117,246.759,575.938,257.782,76.8961,52.859,85.4262,393.562,87.4303,208.43,161.082,43.8404,27.8074,14.53,48.3497,128.515,123.004,160.832,365.228,122.002,14.2795,654.851,217.95,1532.66,913.133,255.414,90.2587,43.8529,31.5651,176.113,1219.01,259.285,3747.98,380.535,274.316,227.97,84.3865,132.022,8538.36,154.819,119.246,556.899,45.3435,558.652,164.088,5025.87,204.923,459.448,5755.62,18240.4,605.749,81.6684,368.761,5.0103,624.037,192.61,102.461,155.07,60.8756,11472.7,1267.36,248.513,187.637,42.5878,5368.82,1808.34,14694.3,2.5052,2992.17,375.024,412.661,282.583,239.995,282.833,845.494,219.703,1918.21,56.6168,345.766,2415.23,136.281,3873.61,934.678,1556.96,66.3869,160.581,1746.6,108.975,63.3807,292.854,2860.15,85.6767,33.0682,140.54,942.586999999999,169.6,524.081,100.207,59.623,60.3745,1413.67,360.243,1080.51,222.459,1144.86,472.224,114.737,976.264,34.5713,543.371,1239.31,195.654,945.45,751.55,1927.73,344.21,894.094,386.798,232.48,1734.08,10.7722,82.921,56.1157,174.109,348.218,888.833,942.193,515.062,467.464,787.374,644.579,311.392,1978.58,156.663,315.651,55.294,22.296,270.808,269.977,37.327,5.5114,556.899,2247.64,33123.1,101.209,353.479,220.455,713.722,574.184,168.097,697.188,697.188,1370.08,460.951,592.221,8.7681,387.299,254.069,100.457,1438.22,243.753,167.095,572.932,41.8363,1259.1,1.5031,117.743,29.0599,10225.3,159.078,710.18,293.104,299.367,108.724,98.2025,247.761,1468.28,576.188,831.715,97.2005,86.1777,7912.34,107.973,923.154,158.577,197.157,62.3787,0.0,1577.0,2808.79,968.748,445.419,666.124,223.962,180.121,16.5341,2048.22,48.6002,1581.51,1056.18,1252.08,619.778,441.16,2145.93,177.616,1607.82,299.868,2493.64,1567.48,203.67,1116.05,118.244,297.363,302.374,273.815
